Union_Name,Upazilla_Name,Union_code
WARD NO. 26,BARISAL SADAR (KOTWALI),026
WARD NO. 27,BARISAL SADAR (KOTWALI),027
WARD NO. 28,BARISAL SADAR (KOTWALI),028
WARD NO. 29,BARISAL SADAR (KOTWALI),029
WARD NO. 30,BARISAL SADAR (KOTWALI),030
ALINAGAR,BHOLA SADAR,109
BAPTA,BHOLA SADAR,143
BHEDURIA,BHOLA SADAR,152
BHELUMIA,BHOLA SADAR,161
CHAR SAMAIYA,BHOLA SADAR,179
DAKKHIN DIGHALDI,BHOLA SADAR,213
DHANIA,BHOLA SADAR,222
ILISHA,BHOLA SADAR,380
KACHIA,BHOLA SADAR,447
PASHCHIM ILISHA,BHOLA SADAR,613
RAJAPUR,BHOLA SADAR,680
SHIBPUR,BHOLA SADAR,714
UTTAR DIGHALDI,BHOLA SADAR,781
BARA MANIKA,BORHANUDDIN,142
DEULA,BORHANUDDIN,209
GANGAPUR,BORHANUDDIN,309
HASANNAGAR,BORHANUDDIN,343
KUTBA,BORHANUDDIN,452
PAKKHIA,BORHANUDDIN,610
SACHRA,BORHANUDDIN,710
TOBGI,BORHANUDDIN,744
ABDULLAPUR,CHARFASSON,109
ABU BAKARPUR,CHARFASSON,118
ADHYKKHA NAZRULNAGAR,CHARFASSON,127
AMINABAD,CHARFASSON,136
ASLAMPUR,CHARFASSON,145
CHAR KALMI,CHARFASSON,180
CHAR KUKRIMUKRI,CHARFASSON,189
CHAR MADRAJ,CHARFASSON,198
CHAR MANIKA,CHARFASSON,207
DHALCHAR,CHARFASSON,217
EWAJPUR,CHARFASSON,251
HAZARIGANJ,CHARFASSON,351
JAHANPUR,CHARFASSON,418
JINNAGAR,CHARFASSON,427
MUJIBNAGAR,CHARFASSON,519
NILKAMAL,CHARFASSON,553
NURABAD,CHARFASSON,562
OSMANGANJ,CHARFASSON,588
RASULPUR,CHARFASSON,688
BHABANIPUR,DAULATKHAN,142
CHAR KHALIFA,DAULATKHAN,176
CHAR PATA,DAULATKHAN,185
